"Experience
(.Months)",Diff,Designation,Joining Status,Employment Type,Distance
4.3,30,1,0,2,0
4.8,32,5,1,2,0
7.0,166,5,0,2,0
10.4,154,3,0,2,0
7.0,275,5,0,2,1
14.0,190,3,1,2,0
2.5,30,1,1,1,0
5.3,215,0,1,0,1
7.0,147,3,1,0,1
18.0,147,2,1,0,1
4.7,147,5,1,2,0
18.0,147,3,1,2,0
3.9,147,1,1,1,0
5.2,1,1,0,2,0
3.2,30,1,1,2,0
14.0,58,3,0,2,1
5.0,55,0,1,0,0
4.0,1,1,1,1,1
3.0,1,1,1,1,0
2.5,0,1,0,2,0
5.3,16,5,0,2,0
4.6,144,1,0,2,0
5.4,21,1,0,2,1
3.8,83,1,1,2,0
4.5,32,1,0,2,1
15.0,18,2,1,2,1
11.0,28,3,1,2,0
2.0,2,1,1,1,0
3.0,5,1,0,1,0
4.6,4,1,1,2,1
3.0,5,1,1,2,0
3.6,3,1,1,2,0
3.5,2,1,1,2,0
5.5,62,5,1,2,0
8.5,3,3,1,2,0
6.5,12,5,0,2,1
6.0,162,5,0,2,1
8.0,3,3,1,2,0
5.8,3,5,1,2,0
9.8,2,3,0,2,1
13.0,35,4,1,2,0
11.0,49,3,1,2,0
16.0,51,3,1,2,0
10.0,13,0,1,2,0
13.0,3,0,1,0,0
3.0,1,1,1,1,1
5.0,1,1,1,1,1
3.4,3,1,1,2,0
5.9,21,5,1,2,0
3.6,1,1,1,2,0
12.0,1,3,0,2,1
5.4,1,5,1,2,0
15.8,1,0,2,2,0
4.3,1,1,1,2,1
6.0,1,5,1,2,0
10.0,21,3,0,2,0
8.0,1,5,1,1,1
14.0,196,5,1,0,1
2.2,2,1,1,2,0
3.0,7,1,1,2,0
6.1,16,5,0,2,1
7.5,2,3,1,2,0
4.5,31,5,0,2,0
5.0,136,5,2,2,1
3.6,1,1,1,1,0
8.0,46,5,1,0,1
3.1,31,1,0,2,0
5.0,15,5,1,2,1
8.0,1,3,1,2,0
9.0,137,5,0,2,1
5.5,19,0,0,0,1
8.0,2,5,1,1,1
3.0,11,1,1,2,1
3.6,13,1,0,2,0
4.0,2,1,1,2,0
4.0,1,1,1,2,0
4.7,4,5,1,2,0
2.2,73,1,0,2,0
5.6,34,5,0,2,0
2.7,6,1,0,2,1
3.9,132,1,0,2,1
6.1,12,5,0,2,0
7.9,9,5,1,2,0
8.2,142,3,0,2,0
6.3,12,5,0,2,0
8.0,60,5,1,2,0
7.1,2,5,1,2,0
8.8,2,3,1,2,0
7.0,40,5,0,2,0
8.6,6,0,0,2,0
7.6,1,3,0,2,0
8.6,4,3,1,2,0
18.0,61,2,1,2,1
20.0,1,2,1,2,0
4.3,7,1,0,2,0
4.9,2,5,1,1,1
0.0,3,1,1,1,0
12.0,12,5,1,0,0
5.0,2,4,1,2,0
2.0,1,1,1,2,0
6.9,12,5,1,2,0
4.2,81,5,0,2,1
5.8,1,5,1,2,0
5.9,12,5,0,2,1
10.9,1,3,1,2,0
16.0,1,0,0,2,1
4.8,5,5,0,2,0
4.1,6,1,1,1,0
7.0,1,5,0,0,0
3.6,1,0,1,2,0
5.7,7,5,0,2,0
17.0,6,0,0,2,0
5.2,1,5,1,2,0
13.0,9,5,1,2,0
14.0,3,3,1,1,0
8.0,1,3,1,2,0
3.3,173,1,0,2,0
5.0,1,5,1,2,0
6.4,2,5,0,2,0
8.8,2,3,0,2,0
5.0,2,5,1,2,1
6.1,2,5,1,2,0
8.9,42,3,0,2,1
3.0,1,1,1,1,1
3.0,1,1,1,1,1
4.0,155,5,0,2,0
3.2,31,1,1,2,0
4.9,172,1,0,2,0
5.0,167,5,0,2,0
4.0,158,0,0,0,0
5.11,32,1,0,2,0
4.6,172,1,1,2,1
8.3,163,5,1,2,0
8.0,164,3,1,2,0
9.7,172,3,1,2,0
6.0,171,5,1,2,0
10.0,31,0,1,0,1
6.1,88,5,1,2,0
6.3,162,5,1,2,0
15.0,172,3,1,2,0
12.8,172,3,0,2,0
16.0,172,5,1,2,0
7.0,130,5,1,2,1
18.0,96,2,1,2,0
3.1,173,1,1,1,1
11.0,172,3,1,1,0
5.5,100,5,0,2,0
4.8,136,5,1,2,1
12.0,28,3,0,2,0
16.0,141,0,1,2,1
16.0,144,2,1,2,0
7.0,60,0,1,2,0
4.0,90,0,1,2,0
5.0,31,1,0,2,1
4.4,105,1,0,2,0
8.0,112,3,1,2,1
7.4,31,5,1,2,0
5.3,31,5,1,1,0
4.1,31,0,1,2,1
7.0,31,5,1,1,0
3.5,31,1,1,1,1
7.8,60,5,1,0,1
4.0,30,1,1,2,0
4.0,30,1,0,2,0
9.5,45,5,1,2,0
8.0,83,5,1,2,0
7.0,30,3,0,2,1
8.9,30,3,0,2,0
4.0,30,1,1,1,0
6.5,30,5,1,1,0
2.9,51,1,1,2,0
9.5,92,0,1,2,0
4.5,51,1,0,2,0
9.0,92,2,1,2,0
3.0,29,1,0,2,1
3.0,48,1,0,2,0
7.0,93,5,1,1,0
7.0,93,5,1,1,0
2.3,123,1,1,2,0
3.3,31,1,1,2,0
3.2,92,1,1,2,0
0.0,0,3,0,2,0
10.0,40,3,0,2,1
11.0,187,3,1,2,1
21.0,54,2,0,2,0
15.0,153,5,1,2,0
3.4,77,1,0,2,0
4.6,92,1,1,2,1
5.8,31,5,0,1,0
8.0,123,5,1,1,0
20.0,82,5,1,2,1
7.0,62,3,1,0,1
3.0,2,1,0,2,1
3.0,125,1,1,2,0
3.6,122,1,1,1,0
8.0,122,3,1,1,0
9.0,31,3,1,2,0
3.5,102,1,1,2,0
8.9,31,3,1,2,0
5.1,31,5,1,2,0
1.0,93,1,1,2,0
5.6,31,5,1,1,0
8.1,31,5,1,1,0
3.9,91,1,0,2,0
3.8,91,1,0,2,0
11.0,30,3,0,2,0
9.6,136,0,1,2,0
3.8,117,1,0,2,1
3.7,127,1,1,2,0
2.6,117,1,1,2,0
13.0,117,3,1,2,0
7.2,117,5,1,1,0
2.0,3,1,1,1,0
4.0,3,1,1,2,0
2.0,113,1,0,2,0
7.7,1,5,1,1,0
3.0,1,1,1,2,0
11.7,1,5,1,2,1
12.0,1,3,1,2,0
2.5,3,1,1,2,0
9.0,3,3,1,2,0
4.0,1,1,1,1,0
4.0,53,1,1,2,0
5.0,18,1,0,1,0
5.6,80,5,1,2,0
7.0,114,5,1,2,0
4.6,44,1,0,2,1
4.8,3,1,1,2,0
8.3,3,3,1,2,0
2.0,1,1,1,2,0
2.3,1,1,1,1,1
4.5,1,1,1,2,0
3.8,112,1,0,2,0
4.5,1,5,1,2,0
6.5,32,5,0,2,0
15.0,1,4,1,2,0
3.5,112,1,1,2,0
1.8,35,1,1,2,0
8.0,32,3,1,2,0
7.5,3,5,0,2,0
5.8,1,1,1,1,0
2.8,21,1,0,2,0
7.0,161,5,0,2,0
3.0,33,1,1,2,0
6.2,1,5,1,2,1
6.0,1,1,1,2,0
9.0,18,3,1,2,0
5.2,1,5,1,1,0
3.5,2,1,1,1,0
10.8,19,3,1,2,0
13.0,192,3,0,2,0
11.0,61,4,1,2,0
9.0,50,4,1,2,0
4.0,52,1,1,1,0
4.2,1,1,0,2,0
4.5,39,5,0,2,0
4.11,4,5,1,2,0
12.0,1,3,1,2,0
7.5,1,5,1,2,0
3.9,0,1,1,2,0
4.6,27,1,0,2,0
7.2,4,5,1,2,0
11.0,2,3,0,2,0
5.9,46,5,0,2,0
3.7,47,1,0,2,0
4.8,1,5,1,2,0
3.0,2,1,1,2,1
3.2,25,1,0,2,0
5.0,5,5,1,2,0
9.5,1,3,1,1,0
10.0,1,3,1,1,0
8.0,29,5,1,2,0
3.0,27,1,1,2,0
10.0,34,4,1,2,0
3.2,1,1,1,2,0
3.0,5,1,1,1,0
3.3,1,1,1,2,0
7.0,48,0,1,0,0
6.8,63,0,0,2,1
0.0,1,0,0,0,0
3.6,1,0,1,2,0
6.6,59,5,0,2,0
5.0,26,5,1,2,0
3.1,1,1,1,2,0
4.5,42,1,1,2,1
7.3,1,5,1,2,0
4.0,11,1,1,2,0
8.0,242,3,2,2,0
9.0,172,3,0,2,0
7.1,104,5,0,2,0
4.2,32,1,0,2,1
15.0,230,2,0,1,1
7.0,145,5,0,2,0
17.0,22,2,0,2,0
3.0,14,1,1,2,0
5.0,40,5,0,2,0
4.11,236,1,0,2,1
8.3,116,3,0,2,0
10.0,187,3,0,2,0
3.4,40,5,0,0,0
13.0,0,4,1,2,0
16.0,142,2,1,2,1
10.0,1,3,0,2,0
3.11,64,1,0,2,1
14.0,62,4,0,2,0
6.7,80,3,1,2,0
7.3,91,3,0,2,0
7.8,36,5,0,2,0
4.0,183,1,0,2,1
8.0,17,3,1,2,0
4.0,120,1,1,1,0
13.0,92,5,1,2,0
4.2,92,1,1,1,0
6.5,53,5,0,2,0
4.6,78,1,2,2,0
5.6,31,5,1,1,0
8.0,18,3,1,2,1
13.0,97,5,2,2,0
6.4,25,5,1,2,0
11.5,263,5,2,2,1
18.0,61,0,1,2,0
7.4,1,3,1,2,0
5.0,31,5,1,1,0
9.0,78,2,1,2,0
3.7,28,1,2,2,0
4.0,60,1,2,2,1
6.5,332,5,0,2,0
5.0,33,1,0,2,0
9.0,62,0,0,2,0
4.3,156,0,2,2,0
14.0,187,5,2,2,0
13.0,2,4,2,2,0
7.7,1,3,1,2,0
5.8,105,5,2,2,0
8.5,183,3,0,2,0
5.9,136,1,2,2,0
7.0,136,1,2,2,0
5.1,52,5,2,2,0
7.0,92,5,0,2,0
5.0,114,5,1,0,0
10.0,31,3,0,2,0
5.0,1,5,1,1,0
7.0,58,0,1,2,0
14.0,1,3,1,2,0
7.5,64,5,0,2,0
11.0,1,3,1,2,0
2.0,1,1,1,1,0
3.1,0,4,1,2,0
8.0,46,5,1,1,0
8.0,40,3,0,2,0
14.0,61,4,2,2,0
20.0,1,5,1,0,0
5.5,26,5,1,2,0
7.0,77,3,0,2,1
12.5,17,3,1,2,0
4.1,38,1,0,2,0
4.2,2,1,1,1,0
2.0,81,1,0,2,1
4.0,1,1,1,2,0
3.4,2,1,1,2,0
13.0,1,3,1,2,1
4.0,1,1,1,1,0
0.0,0,6,1,2,1
9.1,199,3,1,2,0
12.0,29,0,2,2,0
4.6,1,5,1,2,0
2.2,199,1,1,2,1
8.0,230,4,1,2,0
4.3,1,1,1,2,0
6.3,1,5,1,2,0
4.8,1,1,1,2,0
9.0,2,0,1,0,0
8.0,7,3,1,2,0
6.0,1,5,1,0,0
4.6,1,5,1,0,0
9.0,2,5,0,2,0
9.0,233,3,1,2,0
10.0,233,3,0,2,1
2.7,233,1,1,2,0
4.9,169,1,0,2,0
4.0,150,1,1,2,0
8.0,82,5,2,2,0
4.0,62,1,0,2,0
3.9,62,1,1,2,0
11.0,200,3,1,2,1
3.7,234,1,1,2,0
3.8,234,1,1,2,0
7.2,235,0,1,2,0
5.2,234,5,1,2,0
4.1,149,0,1,2,0
6.0,234,5,1,2,0
4.0,234,0,1,2,0
6.3,23,5,1,2,0
4.1,91,1,1,2,0
16.0,92,5,0,2,0
9.7,151,3,1,1,0
5.0,31,5,1,2,0
10.1,6,3,2,1,0
3.2,31,1,1,2,0
12.1,64,3,0,2,0
6.0,30,5,1,2,0
19.0,92,2,1,0,0
3.3,122,1,1,2,0
10.1,2,3,2,1,0
5.8,95,5,1,2,1
9.1,1,3,2,1,0
3.0,4,0,1,2,0
2.1,43,1,0,2,0
10.0,37,4,1,2,0
10.2,120,5,1,2,0
5.6,87,5,1,2,0
4.1,87,1,1,2,0
15.0,110,5,0,2,0
6.2,28,5,1,2,0
3.0,165,1,2,2,0
7.7,2,0,2,0,0
3.2,9,1,0,1,0
4.0,73,5,0,2,0
5.0,31,1,1,2,0
4.8,31,5,1,2,0
4.5,28,1,1,2,0
5.8,30,5,1,2,0
3.1,28,1,1,2,0
5.8,92,4,1,2,0
2.0,53,1,1,2,0
7.0,92,3,1,2,0
4.0,28,1,1,2,0
5.7,215,5,1,2,0
6.2,214,0,1,2,0
3.3,11,1,2,1,0
3.8,1,1,1,1,0
13.7,227,0,0,2,0
3.1,1,5,0,2,0
3.2,38,1,1,2,0
9.0,195,4,2,2,0
9.5,92,3,0,2,0
10.5,28,3,0,2,0
8.4,61,3,1,2,0
9.5,4,5,1,2,0
3.5,2,1,0,2,1
4.8,95,1,0,2,1
4.0,7,1,0,2,0
6.2,31,3,1,0,1
2.5,1,1,1,2,0
3.0,62,1,2,2,0
12.0,1,4,0,0,0
6.0,96,0,1,2,0
4.0,26,1,1,2,0
6.8,181,5,0,2,1
2.3,87,1,1,2,0
8.0,66,4,1,2,0
10.5,38,4,2,2,1
11.0,160,4,1,2,0
7.2,250,5,0,2,0
5.1,1,5,1,2,0
4.0,1,5,1,2,0
6.3,84,5,0,2,0
4.1,1,1,0,2,0
9.5,84,3,1,2,1
5.0,158,5,1,2,0
3.2,57,1,1,2,0
4.9,23,5,1,2,0
6.11,1,5,1,1,0
3.8,265,4,2,2,0
4.2,2,1,1,2,0
3.0,1,1,1,2,0
5.5,10,5,1,2,0
9.5,69,3,0,2,0
6.0,30,5,2,2,0
20.0,16,4,1,2,0
7.0,34,5,0,2,0
3.6,2,1,1,2,1
14.11,37,2,0,2,0
4.1,1,1,1,1,1
9.9,39,3,0,2,0
16.0,90,2,2,2,0
11.0,25,5,1,2,1
6.0,30,5,1,2,0
8.0,14,5,2,2,0
9.2,35,5,1,2,0
8.7,3,3,2,1,0
9.8,247,3,0,2,0
8.5,35,3,2,2,0
4.11,7,1,2,2,0
4.5,5,1,1,2,0
6.0,137,5,2,2,0
4.0,92,5,0,2,0
4.6,0,1,1,2,0
5.0,0,5,0,2,0
18.0,37,2,2,2,0
5.5,35,5,0,2,0
9.0,33,4,2,2,0
2.1,31,1,1,1,0
8.6,251,3,0,2,0
8.4,26,3,0,2,1
10.0,57,1,0,2,1
11.0,8,3,1,2,1
7.11,1,3,1,2,0
10.0,11,3,0,2,0
2.0,86,1,1,2,0
5.5,3,1,1,1,0
6.0,24,4,1,2,0
4.2,55,1,1,2,0
3.2,1,1,1,2,0
4.8,5,5,1,2,0
3.5,7,1,1,1,0
19.0,56,2,2,2,0
2.8,14,1,2,2,0
3.0,103,1,1,2,0
5.8,3,5,1,2,0
3.3,42,1,2,2,0
11.0,1,3,1,2,0
10.3,79,3,1,2,0
12.5,254,3,1,2,0
3.5,2,1,1,2,0
3.0,1,1,2,2,0
6.0,2,1,0,2,0
6.0,2,0,1,2,0
7.8,3,5,0,2,0
7.0,0,5,1,2,0
5.0,1,1,1,1,0
3.9,1,1,1,2,0
10.0,2,5,1,2,0
3.8,1,1,0,2,1
5.1,1,5,2,2,0
10.0,7,5,2,2,0
13.0,0,5,1,2,0
10.0,6,3,1,2,0
4.3,8,1,1,2,0
8.5,86,5,1,1,0
2.0,1,1,2,2,0
3.4,1,1,1,2,0
6.4,1,5,1,2,0
7.0,136,0,1,2,0
8.0,137,2,1,2,0
4.0,1,1,1,2,1
16.0,59,0,1,2,0
7.2,182,3,2,2,0
1.0,66,1,2,2,0
2.8,24,1,2,2,0
9.4,1,3,1,2,0
3.0,9,1,2,2,0
7.0,254,0,2,2,0
0.0,1,0,2,0,0
4.6,31,5,2,2,0
10.2,36,3,2,2,0
6.0,31,5,1,1,0
6.0,5,5,1,1,0
3.5,1,1,1,2,0
4.9,31,1,1,1,0
6.8,2,5,1,2,0
3.0,1,1,2,2,0
2.3,1,1,2,2,0
3.5,1,0,2,2,0
8.0,82,5,2,2,0
8.8,5,3,2,2,0
5.0,2,5,1,2,0
9.0,4,3,2,2,0
17.0,1,5,0,2,0
3.0,1,1,2,2,0
7.1,6,3,2,2,0
2.8,1,1,1,1,0
3.3,1,1,1,2,0
10.6,3,3,2,2,1
3.6,1,1,1,2,1
5.0,61,1,2,2,0
4.6,11,5,2,2,0
0.0,0,6,1,2,1
3.5,3,1,2,2,0
4.4,3,1,2,2,0
9.0,3,3,2,2,0
6.8,3,5,2,2,0
0.0,0,6,1,2,1
6.0,258,5,2,2,0
5.5,3,5,1,2,0
10.0,1,5,1,1,0
11.0,1,5,1,1,0
5.5,7,5,2,2,0
2.8,1,1,2,2,1
